name,cxsmiles,expanded
PC 16:0_18:1(9),"C(COP(=O)([O-])OCC[N+](C)(C)C)(O*)CO* |$;;;;;;;;;;;;;;R1;;;R1$,RG:_R1={C(=O)CCCCCCCCCCCCCCC},{C(=O)CCCCCCCC=CCCCCCCCC}|",C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
DG 16:0_18:1(9),"C(CO)(O*)CO* |$;;;;R1;;;R1$,RG:_R1={C(=O)CCCCCCCCCCCCCCC},{C(=O)CCCCCCCC=CCCCCCCCC}|",C(CO)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
"TG 16:0_18:1(9)_18:2(9,12)","C(CO*)(O*)CO* |$;;;R1;;R1;;;R1$,RG:_R1={C(=O)CCCCCCCCCCCCCCC},{C(=O)CCCCCCCC=CCCCCCCCC},{C(=O)CCCCCCCC=CCC=CCCCCC}|",C(COC(=O)CCCCCCCC=CCC=CCCCCC)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
CL 16:0_18:1(9)_16:0_18:1(9),"C(COP(=O)(O)OCC(O*)CO*)(O)COP(=O)(O)OCC(O*)CO* |$;;;;;;;;;;R1;;;R1;;;;;;;;;;;R1;;;R1$,RG:_R1={C(=O)CCCCCCCCCCCCCCC},{C(=O)CCCCCCCC=CCCCCCCCC},{C(=O)CCCCCCCCCCCCCCC},{C(=O)CCCCCCCC=CCCCCCCCC}|",C(COP(=O)(O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(O)COP(=O)(O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
PC 16:0_18:1,"C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CC=CC)COC(=O)CCCCCCCCCCCCCCC |Sg:n:16:a:ht,Sg:n:19:b:ht| a+b=15",C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
PC 16:0_18:1(9);OH,C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC.*O)COC(=O)CCCCCCCCCCCCCCC |m:33:16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32|,C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC.*O)COC(=O)CCCCCCCCCCCCCCC
TG 16:0_18:1_18:2,"C(COC(=O)CC=CC=CC)(OC(=O)CC=CC)COC(=O)CCCCCCCCCCCCCCC |Sg:n:5:a:ht,Sg:n:7:b:ht,Sg:n:10:c:ht,Sg:n:14:d:ht,Sg:n:17:e:ht| a+b+c=14,d+e=15",C(COC(=O)CCCCC=CCCCC=CCCCCCC)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
LPC 18:1(9),C(COP(=O)([O-])OCC[N+](C)(C)C)(O)COC(=O)CCCCCCCC=CCCCCCCCC,C(COP(=O)([O-])OCC[N+](C)(C)C)(O)COC(=O)CCCCCCCC=CCCCCCCCC
MG 18:1(9),C(CO)(O)COC(=O)CCCCCCCC=CCCCCCCCC,C(CO)(O)COC(=O)CCCCCCCC=CCCCCCCCC
CE 18:1(9),C12(CC=C3CC(OC(=O)CCCCCCCC=CCCCCCCCC)CCC3(C)C1CCC1(C)C(C(C)CCCC(C)C)CCC21),C12(CC=C3CC(OC(=O)CCCCCCCC=CCCCCCCCC)CCC3(C)C1CCC1(C)C(C(C)CCCC(C)C)CCC21)
CAR 16:0,O(C(=O)CCCCCCCCCCCCCCC)[C@H](CC(=O)[O-])C[N+](C)(C)C,O(C(=O)CCCCCCCCCCCCCCC)[C@H](CC(=O)[O-])C[N+](C)(C)C
"NAE 20:4(5,8,11,14)",OCCNC(=O)CCCC=CCC=CCC=CCC=CCCCCC,OCCNC(=O)CCCC=CCC=CCC=CCC=CCCCCC
"AMP-FA 20:4(5,8,11,14)",[n+]1ccccc1-c1ccc(CNC(=O)CCCC=CCC=CCC=CCC=CCCCCC)cc1,[n+]1ccccc1-c1ccc(CNC(=O)CCCC=CCC=CCC=CCC=CCCCCC)cc1
Cer d18:1(4)/16:0,C(CO)(NC(=O)CCCCCCCCCCCCCCC)C(O)C=CCCCCCCCCCCCCC,C(CO)(NC(=O)CCCCCCCCCCCCCCC)C(O)C=CCCCCCCCCCCCCC
SM d18:1(4)/16:0,C(COP(=O)([O-])OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCC)C(O)C=CCCCCCCCCCCCCC,C(COP(=O)([O-])OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCC)C(O)C=CCCCCCCCCCCCCC
HexCer d18:1(4)/16:0,C(COC1OC(CO)C(O)C(O)C1O)(NC(=O)CCCCCCCCCCCCCCC)C(O)C=CCCCCCCCCCCCCC,C(COC1OC(CO)C(O)C(O)C1O)(NC(=O)CCCCCCCCCCCCCCC)C(O)C=CCCCCCCCCCCCCC
Sph d18:1(4),C(CO)(N)C(O)C=CCCCCCCCCCCCCC,C(CO)(N)C(O)C=CCCCCCCCCCCCCC
S1P d18:1(4),C(COP(=O)(O)O)(N)C(O)C=CCCCCCCCCCCCCC,C(COP(=O)(O)O)(N)C(O)C=CCCCCCCCCCCCCC
PC O-16:0/18:1(9),C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COCCCCCCCCCCCCCCCC,C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COCCCCCCCCCCCCCCCC
PC P-16:0/18:1(9),C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COC=CCCCCCCCCCCCCCC,C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COC=CCCCCCCCCCCCCCC
FA 20:4,"OC(=O)CC=CC=CC=CC=CC |Sg:n:3:a:ht,Sg:n:5:b:ht,Sg:n:7:c:ht,Sg:n:9:d:ht,Sg:n:12:e:ht| a+b+c+d+e=14",OC(=O)CCC=CCC=CCC=CCC=CCCCCCC
"FA 20:4(5,8,11,14);3OH",OC(=O)CC(O)CC=CCC=CCC=CCC=CCCCCC,OC(=O)CC(O)CC=CCC=CCC=CCC=CCCCCC
PC 16:0/18:2,"C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CC=CC=CC)COC(=O)CCCCCCCCCCCCCCC |Sg:n:16:a:ht,Sg:n:18:b:ht,Sg:n:21:c:ht| a+b+c=14",C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCC=CCCCC=CCCCCCC)COC(=O)CCCCCCCCCCCCCCC
DG 18:0/18:2;5OH,"C(CO)(OC(=O)CCCC(O)CC=CC=CC)COC(=O)CCCCCCCCCCCCCCCCC |Sg:n:11:a:ht,Sg:n:13:b:ht,Sg:n:16:c:ht| a+b+c=10",C(CO)(OC(=O)CCCC(O)CCCC=CCCC=CCCCC)COC(=O)CCCCCCCCCCCCCCCCC
"DG 18:0/18:2(9,12);OH",C(CO)(OC(=O)CCCCCCCC=CCC=CCCCCC.*O)COC(=O)CCCCCCCCCCCCCCCCC |m:23:6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22|,C(CO)(OC(=O)CCCCCCCC=CCC=CCCCCC.*O)COC(=O)CCCCCCCCCCCCCCCCC
DG 16:0_18:1,"C(CO)(OC(=O)CC=CC)COC(=O)CCCCCCCCCCCCCCC |Sg:n:6:a:ht,Sg:n:9:b:ht| a+b=15",C(CO)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
TG 18:0_18:1_18:2,"C(COC(=O)CC=CC=CC)(OC(=O)CC=CC)COC(=O)CCCCCCCCCCCCCCCCC |Sg:n:5:a:ht,Sg:n:7:b:ht,Sg:n:10:c:ht,Sg:n:14:d:ht,Sg:n:17:e:ht| a+b+c=14,d+e=15",C(COC(=O)CCCCC=CCCCC=CCCCCCC)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC
DG 18:1(9);5OH_18:1;OH,"C(CO)(OC(=O)CC=CC.*O)COC(=O)CCCC(O)CCCC=CCCCCCCCC |Sg:n:6:a:ht,Sg:n:9:b:ht,m:10:6.7.8.9| a+b=15",C(CO)(OC(=O)CCCCCCCC=CCCCCCCCC.*O)COC(=O)CCCC(O)CCCC=CCCCCCCCC
